type;month;e_f1;e_f2;e_f3
dom;1;0.34700336;0.273395964;0.379600705
dom;2;0.35;0.290000004;0.359999988
dom;3;0.379999974;0.28000002;0.340000024
dom;4;0.366704877;0.287362405;0.345932645
dom;5;0.338332869;0.274011794;0.387655364
dom;6;0.358619247;0.29761566;0.34376504
dom;7;0.359999992;0.310000028;0.32999998
dom;8;0.364554762;0.276198426;0.359246834
dom;9;0.360000036;0.280000016;0.360000014
dom;10;0.369999966;0.279999994;0.349999966
dom;11;0.370323576;0.278436269;0.35124021
dom;12;0.38383356;0.257425921;0.358740563
bta;1;0.67774632;0.11738936;0.20486429
bta;2;0.64000002;0.150000016;0.21000006
bta;3;0.660000019;0.129999993;0.209999944
bta;4;0.684887448;0.120007207;0.195105385
bta;5;0.655188156;0.117204902;0.227606974
bta;6;0.659987727;0.128577193;0.2114351
bta;7;0.649999944;0.149999985;0.200000002
bta;8;0.666015966;0.149736716;0.18424736
bta;9;0.65000001;0.14999997;0.200000076
bta;10;0.650000001;0.149999999;0.200000027
bta;11;0.651215502;0.148247338;0.200537195
bta;12;0.664549402;0.131057645;0.204392969
